?item	?enLabel	?faLabel	?enDescription	?faDescription	?enWikipediaUrl	?faWikipediaUrl
<http://www.wikidata.org/entity/Q111352>	"lexeme"@en	"تکواژه"@fa	"semantic unit of a language lexicon such as a word or multi-word expression (e.g. \"steam iron\"), as a set of inflected forms and not one particular inflected form, with a meaning that cannot be understood from the meanings of separate components"@en	"کوچکترین واحد متمایز و انتزاعی در واژگان"@fa	<https://en.wikipedia.org/wiki/lexeme>	<https://fa.wikipedia.org/wiki/%D8%AA%DA%A9%D9%88%D8%A7%DA%98%D9%87>
<http://www.wikidata.org/entity/Q111352>	"lexeme"@en	"تکواژه"@fa	"semantic unit of a language lexicon such as a word or multi-word expression (e.g. \"steam iron\"), as a set of inflected forms and not one particular inflected form, with a meaning that cannot be understood from the meanings of separate components"@en	"کوچکترین واحد متمایز و انتزاعی در واژگان"@fa	<https://en.wikipedia.org/wiki/lexeme>	<https://fa.wikipedia.org/wiki/%D8%AA%DA%A9%D9%88%D8%A7%DA%98%D9%87>
<http://www.wikidata.org/entity/Q115368>	"compass and straightedge construction"@en	"تثلیث زاویه"@fa	"way of drawing geometric objects using only an idealized compass and straightedge"@en		<https://en.wikipedia.org/wiki/compass%20and%20straightedge%20construction>	<https://fa.wikipedia.org/wiki/%D8%AA%D8%AB%D9%84%DB%8C%D8%AB%20%D8%B2%D8%A7%D9%88%DB%8C%D9%87>
<http://www.wikidata.org/entity/Q115494>	"Weka"@en	"وکا"@fa	"suite of machine learning software written in Java"@en		<https://en.wikipedia.org/wiki/Weka>	<https://fa.wikipedia.org/wiki/%D9%88%DA%A9%D8%A7>
<http://www.wikidata.org/entity/Q115494>	"Weka"@en	"وکا"@fa	"suite of machine learning software written in Java"@en		<https://en.wikipedia.org/wiki/Weka>	<https://fa.wikipedia.org/wiki/%D9%88%DA%A9%D8%A7>
<http://www.wikidata.org/entity/Q115494>	"Weka"@en	"وکا"@fa	"suite of machine learning software written in Java"@en		<https://en.wikipedia.org/wiki/Weka>	<https://fa.wikipedia.org/wiki/%D9%88%DA%A9%D8%A7>
<http://www.wikidata.org/entity/Q115542>	"canonical correlation analysis"@en	"همبستگی کانونی"@fa	"way of inferring information from cross-covariance matrices"@en		<https://en.wikipedia.org/wiki/canonical%20correlation%20analysis>	<https://fa.wikipedia.org/wiki/%D9%87%D9%85%D8%A8%D8%B3%D8%AA%DA%AF%DB%8C%20%DA%A9%D8%A7%D9%86%D9%88%D9%86%DB%8C>
<http://www.wikidata.org/entity/Q116877>	"software refactoring"@en	"بازسازی کد"@fa	"process of restructuring existing computer code without changing its external behavior"@en		<https://en.wikipedia.org/wiki/software%20refactoring>	<https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C%20%DA%A9%D8%AF>
<http://www.wikidata.org/entity/Q116877>	"software refactoring"@en	"بازسازی کد"@fa	"process of restructuring existing computer code without changing its external behavior"@en		<https://en.wikipedia.org/wiki/software%20refactoring>	<https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C%20%DA%A9%D8%AF>
<http://www.wikidata.org/entity/Q117241>	"insertion sort"@en	"مرتبسازی درجی"@fa	"sorting algorithm that, at each iteration, inserts the current input element into the suitable position between the already sorted elements"@en		<https://en.wikipedia.org/wiki/insertion%20sort>	<https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%A8%D8%B3%D8%A7%D8%B2%DB%8C%20%D8%AF%D8%B1%D8%AC%DB%8C>
<http://www.wikidata.org/entity/Q117241>	"insertion sort"@en	"مرتبسازی درجی"@fa	"sorting algorithm that, at each iteration, inserts the current input element into the suitable position between the already sorted elements"@en		<https://en.wikipedia.org/wiki/insertion%20sort>	<https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%A8%D8%B3%D8%A7%D8%B2%DB%8C%20%D8%AF%D8%B1%D8%AC%DB%8C>
<http://www.wikidata.org/entity/Q117241>	"insertion sort"@en	"مرتبسازی درجی"@fa	"sorting algorithm that, at each iteration, inserts the current input element into the suitable position between the already sorted elements"@en		<https://en.wikipedia.org/wiki/insertion%20sort>	<https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%A8%D8%B3%D8%A7%D8%B2%DB%8C%20%D8%AF%D8%B1%D8%AC%DB%8C>
<http://www.wikidata.org/entity/Q117241>	"insertion sort"@en	"مرتبسازی درجی"@fa	"sorting algorithm that, at each iteration, inserts the current input element into the suitable position between the already sorted elements"@en		<https://en.wikipedia.org/wiki/insertion%20sort>	<https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%A8%D8%B3%D8%A7%D8%B2%DB%8C%20%D8%AF%D8%B1%D8%AC%DB%8C>
<http://www.wikidata.org/entity/Q117241>	"insertion sort"@en	"مرتبسازی درجی"@fa	"sorting algorithm that, at each iteration, inserts the current input element into the suitable position between the already sorted elements"@en		<https://en.wikipedia.org/wiki/insertion%20sort>	<https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%A8%D8%B3%D8%A7%D8%B2%DB%8C%20%D8%AF%D8%B1%D8%AC%DB%8C>
<http://www.wikidata.org/entity/Q117241>	"insertion sort"@en	"مرتبسازی درجی"@fa	"sorting algorithm that, at each iteration, inserts the current input element into the suitable position between the already sorted elements"@en		<https://en.wikipedia.org/wiki/insertion%20sort>	<https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%A8%D8%B3%D8%A7%D8%B2%DB%8C%20%D8%AF%D8%B1%D8%AC%DB%8C>
<http://www.wikidata.org/entity/Q117801>	"computational science"@en	"علم محاسبه"@fa	"field concerned with constructing mathematical models and quantitative analysis techniques and using computers to analyze and solve scientific problems"@en		<https://en.wikipedia.org/wiki/computational%20science>	<https://fa.wikipedia.org/wiki/%D8%B9%D9%84%D9%85%20%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%87>
<http://www.wikidata.org/entity/Q119906>	"parallax scrolling"@en	"پیمایش با اختلاف دید"@fa	"computer graphics technique, where background images move past the camera more slowly than foreground images, creating an illusion of depth in a 2D scene and adding to the sense of immersion in the virtual experience"@en		<https://en.wikipedia.org/wiki/parallax%20scrolling>	<https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D9%85%D8%A7%DB%8C%D8%B4%20%D8%A8%D8%A7%20%D8%A7%D8%AE%D8%AA%D9%84%D8%A7%D9%81%20%D8%AF%DB%8C%D8%AF>
<http://www.wikidata.org/entity/Q124743>	"Wronskian"@en	"رونسکین"@fa	"Determinant of the matrix of first derivatives of a set of functions"@en		<https://en.wikipedia.org/wiki/Wronskian>	<https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D9%86%D8%B3%DA%A9%DB%8C%D9%86>
<http://www.wikidata.org/entity/Q125977>	"vector space"@en	"فضای برداری"@fa	"the basic algebraic structure of linear algebra; a module over a field, such that its elements can be added together or scaled by elements of the field"@en		<https://en.wikipedia.org/wiki/vector%20space>	<https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D8%A7%DB%8C%20%D8%A8%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C>
<http://www.wikidata.org/entity/Q126552>	"business informatics"@en	"علوم رایانه"@fa	"science that deals with development and application of information and communication systems in business enterprises"@en		<https://en.wikipedia.org/wiki/business%20informatics>	<https://fa.wikipedia.org/wiki/%D8%B9%D9%84%D9%88%D9%85%20%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D9%87>
<http://www.wikidata.org/entity/Q127992>	"Association for Computing Machinery"@en	"انجمن ماشینهای محاسب"@fa	"international learned society for computing"@en		<https://en.wikipedia.org/wiki/Association%20for%20Computing%20Machinery>	<https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%AC%D9%85%D9%86%20%D9%85%D8%A7%D8%B4%DB%8C%D9%86%D9%87%D8%A7%DB%8C%20%D9%85%D8%AD%D8%A7%D8%B3%D8%A8>
<http://www.wikidata.org/entity/Q128570>	"bioinformatics"@en	"بیوانفورماتیک"@fa	"computational analysis of large, complex sets of biological data"@en		<https://en.wikipedia.org/wiki/bioinformatics>	<https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D9%88%D8%A7%D9%86%D9%81%D9%88%D8%B1%D9%85%D8%A7%D8%AA%DB%8C%DA%A9>
<http://www.wikidata.org/entity/Q128570>	"bioinformatics"@en	"بیوانفورماتیک"@fa	"computational analysis of large, complex sets of biological data"@en		<https://en.wikipedia.org/wiki/bioinformatics>	<https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D9%88%D8%A7%D9%86%D9%81%D9%88%D8%B1%D9%85%D8%A7%D8%AA%DB%8C%DA%A9>
<http://www.wikidata.org/entity/Q130657>	"lazy learning"@en	"یادگیری تنبل"@fa	"type of machine learning method"@en		<https://en.wikipedia.org/wiki/lazy%20learning>	<https://fa.wikipedia.org/wiki/%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C%20%D8%AA%D9%86%D8%A8%D9%84>
<http://www.wikidata.org/entity/Q130762>	"multiplication algorithm"@en	"الگوریتم ضرب"@fa	"algorithm to multiply numbers"@en		<https://en.wikipedia.org/wiki/multiplication%20algorithm>	<https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%AF%D9%88%D8%B1%DB%8C%D8%AA%D9%85%20%D8%B6%D8%B1%D8%A8>
<http://www.wikidata.org/entity/Q131012>	"Occam's razor"@en	"تیغ اوکام"@fa	"philosophical principle used to judge credibility of statements"@en	"اصلی فلسفی برای انتخاب راه حل با کمترین فرضیات"@fa	<https://en.wikipedia.org/wiki/Occam%27s%20razor>	<https://fa.wikipedia.org/wiki/%D8%AA%DB%8C%D8%BA%20%D8%A7%D9%88%DA%A9%D8%A7%D9%85>
<http://www.wikidata.org/entity/Q131222>	"information theory"@en	"نظریه اطلاعات"@fa	"mathematical theory from the field of probability theory and statistics"@en		<https://en.wikipedia.org/wiki/information%20theory>	<https://fa.wikipedia.org/wiki/%D9%86%D8%B8%D8%B1%DB%8C%D9%87%20%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%D8%A7%D8%AA>
<http://www.wikidata.org/entity/Q131476>	"graph theory"@en	"نظریه گراف"@fa	"study of graphs, which are mathematical structures used to model pairwise relations between objects"@en		<https://en.wikipedia.org/wiki/graph%20theory>	<https://fa.wikipedia.org/wiki/%D9%86%D8%B8%D8%B1%DB%8C%D9%87%20%DA%AF%D8%B1%D8%A7%D9%81>
<http://www.wikidata.org/entity/Q131566>	"Institute of Electrical and Electronics Engineers"@en	"مؤسسه مهندسان برق و الکترونیک"@fa	"American professional association for electronic engineering and electrical engineering"@en	"سازمان مهندسین برق و الکترونیک"@fa	<https://en.wikipedia.org/wiki/Institute%20of%20Electrical%20and%20Electronics%20Engineers>	<https://fa.wikipedia.org/wiki/%D9%85%D8%A4%D8%B3%D8%B3%D9%87%20%D9%85%D9%87%D9%86%D8%AF%D8%B3%D8%A7%D9%86%20%D8%A8%D8%B1%D9%82%20%D9%88%20%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%D9%88%D9%86%DB%8C%DA%A9>
<http://www.wikidata.org/entity/Q131723>	"bitcoin"@en	"بیتکوین"@fa	"digital cash system and associated currency"@en	"یک ارز دیجیتال جهانی"@fa	<https://en.wikipedia.org/wiki/bitcoin>	<https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D8%AA%DA%A9%D9%88%DB%8C%D9%86>
<http://www.wikidata.org/entity/Q133580>	"explanation-based learning"@en	"یادگیری بر اساس توضیح"@fa	"form of machine learning"@en		<https://en.wikipedia.org/wiki/explanation-based%20learning>	<https://fa.wikipedia.org/wiki/%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C%20%D8%A8%D8%B1%20%D8%A7%D8%B3%D8%A7%D8%B3%20%D8%AA%D9%88%D8%B6%DB%8C%D8%AD>
<http://www.wikidata.org/entity/Q133580>	"explanation-based learning"@en	"یادگیری بر اساس توضیح"@fa	"form of machine learning"@en		<https://en.wikipedia.org/wiki/explanation-based%20learning>	<https://fa.wikipedia.org/wiki/%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C%20%D8%A8%D8%B1%20%D8%A7%D8%B3%D8%A7%D8%B3%20%D8%AA%D9%88%D8%B6%DB%8C%D8%AD>
<http://www.wikidata.org/entity/Q133580>	"explanation-based learning"@en	"یادگیری بر اساس توضیح"@fa	"form of machine learning"@en		<https://en.wikipedia.org/wiki/explanation-based%20learning>	<https://fa.wikipedia.org/wiki/%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C%20%D8%A8%D8%B1%20%D8%A7%D8%B3%D8%A7%D8%B3%20%D8%AA%D9%88%D8%B6%DB%8C%D8%AD>
<http://www.wikidata.org/entity/Q133939>	"comb sort"@en	"مرتبسازی شانهای"@fa	"sorting algorithm"@en		<https://en.wikipedia.org/wiki/comb%20sort>	<https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%A8%D8%B3%D8%A7%D8%B2%DB%8C%20%D8%B4%D8%A7%D9%86%D9%87%D8%A7%DB%8C>
<http://www.wikidata.org/entity/Q134164>	"simplex algorithm"@en	"الگوریتم غیر مرکب"@fa	"algorithm"@en		<https://en.wikipedia.org/wiki/simplex%20algorithm>	<https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%AF%D9%88%D8%B1%DB%8C%D8%AA%D9%85%20%D8%BA%DB%8C%D8%B1%20%D9%85%D8%B1%DA%A9%D8%A8>
<http://www.wikidata.org/entity/Q134983>	"Triple DES"@en	"دیایاس سهگانه"@fa	"block cipher"@en		<https://en.wikipedia.org/wiki/Triple%20DES>	<https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%D8%A7%DB%8C%D8%A7%D8%B3%20%D8%B3%D9%87%DA%AF%D8%A7%D9%86%D9%87>
<http://www.wikidata.org/entity/Q135035>	"Data Encryption Standard"@en	"استاندارد رمزنگاری دادهها"@fa	"Early unclassified symmetric-key block cipher"@en		<https://en.wikipedia.org/wiki/Data%20Encryption%20Standard>	<https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%D8%A7%D8%B1%D8%AF%20%D8%B1%D9%85%D8%B2%D9%86%DA%AF%D8%A7%D8%B1%DB%8C%20%D8%AF%D8%A7%D8%AF%D9%87%D9%87%D8%A7>
<http://www.wikidata.org/entity/Q135622>	"Google Translate"@en	"مترجم گوگل"@fa	"multilingual neural machine translation service from Google"@en	"خدمتی از شرکت گوگل برای ترجمهٔ متن به زبانی دیگر"@fa	<https://en.wikipedia.org/wiki/Google%20Translate>	<https://fa.wikipedia.org/wiki/%D9%85%D8%AA%D8%B1%D8%AC%D9%85%20%DA%AF%D9%88%DA%AF%D9%84>
<http://www.wikidata.org/entity/Q135622>	"Google Translate"@en	"مترجم گوگل"@fa	"multilingual neural machine translation service from Google"@en	"خدمتی از شرکت گوگل برای ترجمهٔ متن به زبانی دیگر"@fa	<https://en.wikipedia.org/wiki/Google%20Translate>	<https://fa.wikipedia.org/wiki/%D9%85%D8%AA%D8%B1%D8%AC%D9%85%20%DA%AF%D9%88%DA%AF%D9%84>
<http://www.wikidata.org/entity/Q141090>	"encryption"@en	"رمزگذاری"@fa	"process of encoding information, which is conversion of the original representation of the information, known as plaintext, into an alternative form known as ciphertext"@en		<https://en.wikipedia.org/wiki/encryption>	<https://fa.wikipedia.org/wiki/%D8%B1%D9%85%D8%B2%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C>
<http://www.wikidata.org/entity/Q146813>	"client–server"@en	"مدل کارخواه-کارساز"@fa	"distributed application structure in computing"@en		<https://en.wikipedia.org/wiki/client%E2%80%93server>	<https://fa.wikipedia.org/wiki/%D9%85%D8%AF%D9%84%20%DA%A9%D8%A7%D8%B1%D8%AE%D9%88%D8%A7%D9%87-%DA%A9%D8%A7%D8%B1%D8%B3%D8%A7%D8%B2>
<http://www.wikidata.org/entity/Q146813>	"client–server"@en	"مدل کارخواه-کارساز"@fa	"distributed application structure in computing"@en		<https://en.wikipedia.org/wiki/client%E2%80%93server>	<https://fa.wikipedia.org/wiki/%D9%85%D8%AF%D9%84%20%DA%A9%D8%A7%D8%B1%D8%AE%D9%88%D8%A7%D9%87-%DA%A9%D8%A7%D8%B1%D8%B3%D8%A7%D8%B2>
<http://www.wikidata.org/entity/Q150474>	"one-time pad"@en	"پد یکبار مصرف"@fa	"encryption technique utilizing a one-time pre-shared key at least as long as the encrypted message"@en	"یک تکنیک رمزگذاری"@fa	<https://en.wikipedia.org/wiki/one-time%20pad>	<https://fa.wikipedia.org/wiki/%D9%BE%D8%AF%20%DB%8C%DA%A9%D8%A8%D8%A7%D8%B1%20%D9%85%D8%B5%D8%B1%D9%81>
<http://www.wikidata.org/entity/Q150971>	"computer graphics"@en	"گرافیک رایانهای"@fa	"sub-field of computer science"@en		<https://en.wikipedia.org/wiki/computer%20graphics>	<https://fa.wikipedia.org/wiki/%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9%20%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D9%87%D8%A7%DB%8C>
<http://www.wikidata.org/entity/Q150971>	"computer graphics"@en	"گرافیک رایانهای"@fa	"sub-field of computer science"@en		<https://en.wikipedia.org/wiki/computer%20graphics>	<https://fa.wikipedia.org/wiki/%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9%20%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D9%87%D8%A7%DB%8C>
<http://www.wikidata.org/entity/Q154021>	"block cipher mode of operation"@en	"مدهای کاری رمزهای قطعهای"@fa	"algorithm that uses a block cipher to provide an information service such as confidentiality or authenticity"@en		<https://en.wikipedia.org/wiki/block%20cipher%20mode%20of%20operation>	<https://fa.wikipedia.org/wiki/%D9%85%D8%AF%D9%87%D8%A7%DB%8C%20%DA%A9%D8%A7%D8%B1%DB%8C%20%D8%B1%D9%85%D8%B2%D9%87%D8%A7%DB%8C%20%D9%82%D8%B7%D8%B9%D9%87%D8%A7%DB%8C>
<http://www.wikidata.org/entity/Q156616>	"The National Institute of Statistics and Economic Studies"@en	"مؤسسه ملی آمار و مطالعات اقتصاد"@fa	"France's principal government institution in charge of statistics and census data"@en		<https://en.wikipedia.org/wiki/The%20National%20Institute%20of%20Statistics%20and%20Economic%20Studies>	<https://fa.wikipedia.org/wiki/%D9%85%D8%A4%D8%B3%D8%B3%D9%87%20%D9%85%D9%84%DB%8C%20%D8%A2%D9%85%D8%A7%D8%B1%20%D9%88%20%D9%85%D8%B7%D8%A7%D9%84%D8%B9%D8%A7%D8%AA%20%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF>
<http://www.wikidata.org/entity/Q160039>	"econometrics"@en	"اقتصادسنجی"@fa	"academic discipline"@en		<https://en.wikipedia.org/wiki/econometrics>	<https://fa.wikipedia.org/wiki/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D8%B3%D9%86%D8%AC%DB%8C>
<http://www.wikidata.org/entity/Q161410>	"peer-to-peer"@en	"همتا به همتا"@fa	"type of decentralized and distributed network architecture"@en		<https://en.wikipedia.org/wiki/peer-to-peer>	<https://fa.wikipedia.org/wiki/%D9%87%D9%85%D8%AA%D8%A7%20%D8%A8%D9%87%20%D9%87%D9%85%D8%AA%D8%A7>
<http://www.wikidata.org/entity/Q161410>	"peer-to-peer"@en	"همتا به همتا"@fa	"type of decentralized and distributed network architecture"@en		<https://en.wikipedia.org/wiki/peer-to-peer>	<https://fa.wikipedia.org/wiki/%D9%87%D9%85%D8%AA%D8%A7%20%D8%A8%D9%87%20%D9%87%D9%85%D8%AA%D8%A7>
<http://www.wikidata.org/entity/Q165194>	"application programming interface"@en	"رابط برنامهنویسی نرمافزار"@fa	"software interface between computers and/or programs"@en		<https://en.wikipedia.org/wiki/application%20programming%20interface>	<https://fa.wikipedia.org/wiki/%D8%B1%D8%A7%D8%A8%D8%B7%20%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87%D9%86%D9%88%DB%8C%D8%B3%DB%8C%20%D9%86%D8%B1%D9%85%D8%A7%D9%81%D8%B2%D8%A7%D8%B1>
<http://www.wikidata.org/entity/Q166066>	"Time-based One-time Password Algorithm"@en	"کلمه عبور یکبارمصرف براساس زمان"@fa	"authentication algorithm"@en		<https://en.wikipedia.org/wiki/Time-based%20One-time%20Password%20Algorithm>	<https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D9%85%D9%87%20%D8%B9%D8%A8%D9%88%D8%B1%20%DB%8C%DA%A9%D8%A8%D8%A7%D8%B1%D9%85%D8%B5%D8%B1%D9%81%20%D8%A8%D8%B1%D8%A7%D8%B3%D8%A7%D8%B3%20%D8%B2%D9%85%D8%A7%D9%86>
